NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Ano (Código),Ano,Variável (Código),Variável,Grupo de idade (Código),Grupo de idade
3,Unidade da Federação,2,%,1.2,32,Espírito Santo,2024,2024,2623,Coeficiente de variação - Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,100.0,32,Espírito Santo,2024,2024,10650,Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,-,32,Espírito Santo,2024,2024,10651,Coeficiente de variação - Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,1572,Mil pessoas,14577,33,Rio de Janeiro,2024,2024,2620,Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,0.4,33,Rio de Janeiro,2024,2024,2623,Coeficiente de variação - Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,100.0,33,Rio de Janeiro,2024,2024,10650,Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,-,33,Rio de Janeiro,2024,2024,10651,Coeficiente de variação - Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,1572,Mil pessoas,37140,35,São Paulo,2024,2024,2620,Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,0.6,35,São Paulo,2024,2024,2623,Coeficiente de variação - Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,100.0,35,São Paulo,2024,2024,10650,Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,-,35,São Paulo,2024,2024,10651,Coeficiente de variação - Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,1572,Mil pessoas,9152,41,Paraná,2024,2024,2620,Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,0.7,41,Paraná,2024,2024,2623,Coeficiente de variação - Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,100.0,41,Paraná,2024,2024,10650,Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,-,41,Paraná,2024,2024,10651,Coeficiente de variação - Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,1572,Mil pessoas,5988,42,Santa Catarina,2024,2024,2620,Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,0.6,42,Santa Catarina,2024,2024,2623,Coeficiente de variação - Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,100.0,42,Santa Catarina,2024,2024,10650,Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,-,42,Santa Catarina,2024,2024,10651,Coeficiente de variação - Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,1572,Mil pessoas,9385,43,Rio Grande do Sul,2024,2024,2620,Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,0.4,43,Rio Grande do Sul,2024,2024,2623,Coeficiente de variação - Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,100.0,43,Rio Grande do Sul,2024,2024,10650,Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,-,43,Rio Grande do Sul,2024,2024,10651,Coeficiente de variação - Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,1572,Mil pessoas,2179,50,Mato Grosso do Sul,2024,2024,2620,Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,1.2,50,Mato Grosso do Sul,2024,2024,2623,Coeficiente de variação - Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,100.0,50,Mato Grosso do Sul,2024,2024,10650,Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,-,50,Mato Grosso do Sul,2024,2024,10651,Coeficiente de variação - Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,1572,Mil pessoas,2775,51,Mato Grosso,2024,2024,2620,Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,1.2,51,Mato Grosso,2024,2024,2623,Coeficiente de variação - Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,100.0,51,Mato Grosso,2024,2024,10650,Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,-,51,Mato Grosso,2024,2024,10651,Coeficiente de variação - Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,1572,Mil pessoas,6056,52,Goiás,2024,2024,2620,Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,0.5,52,Goiás,2024,2024,2623,Coeficiente de variação - Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,100.0,52,Goiás,2024,2024,10650,Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,-,52,Goiás,2024,2024,10651,Coeficiente de variação - Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,1572,Mil pessoas,2680,53,Distrito Federal,2024,2024,2620,Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,0.7,53,Distrito Federal,2024,2024,2623,Coeficiente de variação - Pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,100.0,53,Distrito Federal,2024,2024,10650,Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
3,Unidade da Federação,2,%,-,53,Distrito Federal,2024,2024,10651,Coeficiente de variação - Distribuição percentual das pessoas de 10 anos ou mais de idade que utilizaram Internet no período de referência dos últimos três meses,95253,Total
